Type,Title,Correct,Choice 1,Choice 2,Choice 3,Choice 4
MCQ,Quin document s'utilitza per definir qui ha de realitzar cadascuna de les tasques del projecte,2,Proposta de modificació,Matriu de responsabilitats,Descripció de l'activitat,Ordre de treball
MCQ,Quina diferència principal s'estableix entre la 'Validació' i la 'Qualificació' d'un projecte,3,"La validació és responsabilitat d'un laboratori extern, i la qualificació ho és de l'empresa","La validació és necessària per al marcat CE, i la qualificació per al disseny tècnic general","La validació s'orienta a l'empresa interna, mentre que la qualificació s'enfoca al client","La validació comprèn exclusivament proves de programari, mentre que la qualificació és de maquinari"
MCQ,"En les fases de validació, què caracteritza els 'Tests de certificació'?",2,Es realitzen en les instal·lacions pròpies abans d'anar al laboratori oficial,Consisteixen en la certificació per un laboratori oficial del compliment dels estàndards per al marcat CE,Verifiquen que el sistema compleix totes les especificacions en totes les condicions de funcionament,Són proves no contemplades en les especificacions amb la perspectiva de l'usuari final
MCQ,Com es defineix l'Homologació en el context de la qualificació d'un projecte?,3,Declaració del fabricant que el producte satisfà els requisits legals mínims corresponents,Examen extern portat a terme per una empresa privada per confirmar el compliment normatiu,"Comprovació del compliment de la normativa aplicable al país on es ven, realitzada per una agència oficial",Comprovació del compliment d'una norma específica per part d'una entitat no oficial
MCQ,Què estableix la resolució de 'Nou Enfocament' (1985) respecte a les Directives Comunitàries?,2,Les Directives substitueixen tots els estàndards tècnics nacionals,Les Directives únicament han d'harmonitzar els requisits essencials de seguretat i salut,Les Directives han de detallar totes les especificacions tècniques dels productes,Els organismes europeus de normalització redacten les lleis dels estats membres
MCQ,Quin és l'àmbit d'aplicació de la Directiva de Baixa Tensió (2014/35/UE)?,3,Aspectes relacionats amb la regulació de l'espectre radioelèctric,Qualsevol dispositiu electrònic que funcioni amb bateries,Material elèctric dissenyat per a tensions entre 50 i 1000 VAC o entre 75 i 1500 VDC,Equips que poden ser afectats per emissions electromagnètiques
MCQ,Quan s'apliquen els 'Estàndards Genèrics' segons el CENELEC?,2,Sempre que es vulgui reduir els costos de certificació d'un nou producte,Quan no s'han desenvolupat estàndards específics per a un producte o família de productes,Únicament per avaluar la compatibilitat electromagnètica de sistemes complexos,Quan el producte requereix proves de seguretat completes i complexes
MCQ,"En la jerarquia normativa de la Unió Europea, quins tipus de normes es troben al nivell superior?",3,"Lleis, Reials Decrets i Ordres","Tractats, Reglaments i Directives","Directives, Reglaments i Decisions",Normes ISO i estàndards EN
MCQ,Quina via d'avaluació de conformitat per al marcat CE es coneix com a 'Autocertificació'?,4,L'auditoria externa realitzada obligatòriament pel Ministeri d'Indústria espanyol,La certificació basada en la reputació general del fabricant sense avaluació tècnica,L'avaluació mitjançant l'expedient tècnic de fabricació (TCF) quan no hi ha normes aplicables,L'avaluació de conformitat d'acord amb normes harmonitzades existents
MCQ,"En el control de projectes, quina diferència hi ha entre 'Fites' (Milestones) i 'Resultats' (Deliverables)?",3,"No hi ha diferència significativa, ja que ambdós termes són sinònims en la gestió de projectes","Una fita és sempre un pagament del client, mentre que un resultat és un objectiu intern amb pressupost",Una fita és un punt de control i un resultat és algo tangible generat al final d'una etapa,Una fita es refereix al període de temps i un resultat al cost total del projecte
MCQ,"Si en un gràfic de control EVA (Valor Guanyat) la corba de Despesa Real (AC) està per damunt del Valor Guanyat (EV), i el Valor Guanyat (EV) està per sota del Cost Planificat (PV), quina és la situació del projecte?",1,Endarrerit i amb sobrecost,Avançat i per sota del cost,Avançat i amb sobrecost,Endarrerit i per sota del cost
MCQ,Quin tipus de tancament de projecte es descriu com a 'Perpetu'?,3,Aquell que s'atura perquè l'abast original es va definir incorrectament,Aquell que es finalitza abans de temps per a una ràpida entrada al mercat,Aquell que sembla no acabar mai a causa de la contínua addició de nous petits canvis,Aquell que es transfereix al client un cop està completament acabat
MCQ,Quin dels següents és un motiu plausible per a un tancament prematur d'un projecte?,4,La redefinició constant i no controlada de l'abast del projecte,L'assoliment de tots els objectius del projecte molt abans del previst originalment,La inviabilitat tècnica confirmada del projecte durant les fases inicials,"La pressió per obtenir beneficis mitjançant una entrada anticipada al mercat, prescindint de certes parts del projecte"
MCQ,"A quin grup destinatari pertany el 'Manual d'Instal·lació, Ús i Manteniment' en el tancament del projecte?",4,Al departament de compres,Al departament de producció,Al departament de màrqueting,Al client o usuari final
MCQ,"Dins de la documentació per a fabricació, quin element es classifica com a 'Documentació de control'?",1,"Esquemàtics, plànols de targetes, $\texttt{Gerber}$ de les $\texttt{PCB}$ i llistats de cartes de control",Plànols mecànics i seqüències de muntatge,Plànols elèctrics elaborats amb $\texttt{EPLAN}$,Protocols d'inspecció per a certificació de qualitat
MCQ,Quin és l'objectiu principal de realitzar un 'Projecte Fallit' com a tipus de tancament?,3,Lliurar el projecte al client malgrat que no compleixi els objectius definits,Introduir modificacions contínuament fins que el projecte aconsegueixi els resultats esperats,Finalitzar el projecte de manera ràpida per evitar inversions addicionals en una iniciativa inviable,Incrementar la producció per mitigar les pèrdues de la inversió inicial ràpidament
