Type,Title,Correct,Choice 1,Choice 2,Choice 3,Choice 4
MCQ,És cert que la recerca de feina ha de començar per la redacció d’un bon CV?,2,"No, el primer pas consisteix sempre en l'enviament de cartes de presentació que no van acompanyades de CV","No, inicialment és important conèixer l’empresa, el lloc, les necessitats i les prioritats abans de redactar el CV","Sí, tot i que això només s'aplica si l'oferta és per a una empresa de gran envergadura","Sí, un bon CV és la millor eina i el primer pas essencial"
MCQ,Quina estratègia es recomana al text quan es contesta a una oferta de treball específica?,2,Enviar un CV a mida i una carta de presentació genèrica,Enviar un CV i una carta de presentació fets a mida per a l'oferta,Enviar tant el CV com la carta de presentació genèrics per maximitzar l'eficiència,Enviar un CV genèric i una carta de presentació a mida
MCQ,Per quina raó fonamental és important obtenir informació sobre l'empresa objectiu abans de l'entrevista?,1,"Per a adaptar el currículum, preparar preguntes rellevants i comprendre les necessitats del rol",Per a criticar els punts febles de l'empresa davant de l'entrevistador,Per a determinar exclusivament el temps de desplaçament a l'oficina,Per a saber si l'empresa ofereix servei de menjador abans d'acceptar la posició
MCQ,"Segons els consells sobre negociació salarial, quin és el moment més estratègic per tractar el tema del sou?",1,"Cal intentar negociar-ho al final de l'entrevista, una vegada l'empresa ja ha mostrat interès en contractar-nos",S'ha de mencionar a la carta de presentació o al principi de l'entrevista per ser transparent,No s'ha de negociar el sou; s'ha d'acceptar la primera xifra que l'empresa oferisca sempre,És millor tractar aquest assumpte immediatament després de les preguntes sobre la formació acadèmica
MCQ,Quina és la característica principal de la responsabilitat de l'empresari individual (autònom) respecte als deutes de l'empresa?,3,La responsabilitat és limitada exclusivament al capital inicialment aportat,La responsabilitat és compartida subsidiàriament amb l'Estat,"La responsabilitat és il·limitada, responent amb tots els béns personals presents i futurs",No té cap responsabilitat personal; només responen els actius del negoci
MCQ,Quina diferència fiscal fonamental hi ha entre un empresari individual i una societat (com una S.A. o S.L.)?,3,Les societats paguen un tipus impositiu que podria ser del 52% mentre que l'autònom sempre paga un 25%,L'empresari individual tributa per l'Impost de Societats i la societat per IRPF,"L'empresari individual tributa per IRPF amb un tipus progressiu, mentre que la societat ho fa per l'Impost de Societats amb un tipus fix","L'empresari individual està exempt d'impostos els primers cinc anys, a diferència de les societats"
MCQ,"Entre d'altres utilitats, per a què serveix un Pla de Negoci?",1,Com a carta de presentació per a la captació de capital davant possibles inversors,Per a assegurar beneficis immediats i eliminar qualsevol risc empresarial,Per a eximir-se del pagament de les quotes de la Seguretat Social al començament de l'activitat,Per a reemplaçar els procediments legals de constitució de l'empresa
MCQ,"Dins de la carrera investigadora, quina és la durada típica estimada per a l'etapa de doctorat?",3,De 1 a 2 anys,De 6 a 12 mesos,De 3 a 4 anys,Més de 5 anys
MCQ,Com es defineix l'índex d'impacte d'una revista científica?,3,Representa la quantitat d'anuncis comercials inclosos en cada edició de la revista,Indica el total d'articles publicats per la revista durant un any fiscal,Mesura la ràtio entre les cites rebudes i els articles publicats en un període determinat,Determina el nombre de subscripcions de pagament actives que posseeix la revista
MCQ,"En el marc de 'Horizon Europe', quina característica tenen els projectes de l'European Research Council (ERC)?",3,Els sol·liciten equips de recerca d'almenys tres països diferents,Són ajudes destinades principalment a la mobilitat predoctoral,"Els sol·licita un únic investigador i tenen convocatòries segons l'etapa (Starting, Consolidator, Advanced)",Són projectes orientats a empreses que busquen innovació tecnològica immediata
